county,voted_asian_democrat,voted_asian_republican,voted_asian_nonpartisan,voted_european_democrat,voted_european_republican,voted_european_nonpartisan,voted_hispanic_democrat,voted_hispanic_republican,voted_hispanic_nonpartisan,voted_african_democrat,voted_african_republican,voted_african_nonpartisan,voted_other_democrat,voted_other_republican,voted_other_nonpartisan,nonvoted_asian_democrat,nonvoted_asian_republican,nonvoted_asian_nonpartisan,nonvoted_european_democrat,nonvoted_european_republican,nonvoted_european_nonpartisan,nonvoted_hispanic_democrat,nonvoted_hispanic_republican,nonvoted_hispanic_nonpartisan,nonvoted_african_democrat,nonvoted_african_republican,nonvoted_african_nonpartisan,nonvoted_other_democrat,nonvoted_other_republican,nonvoted_other_nonpartisan
01085,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01087,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01089,1,1,0,5,33,0,2,2,0,13,0,0,1,2,0,2,0,0,1,19,3,2,0,0,9,0,0,1,0,0
01090,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01095,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,0,0,0
01097,0,0,0,1,19,0,1,0,0,21,0,0,0,1,0,3,1,0,0,15,2,1,0,0,10,0,0,1,3,0
01099,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
01101,0,0,0,1,6,1,0,0,0,13,0,0,1,1,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0
01103,0,0,0,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0
01105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
01107,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
01109,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
01111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
01113,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
01115,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
01117,0,0,0,0,23,0,0,0,0,4,0,0,0,2,0,1,0,0,1,10,1,0,0,0,3,0,0,1,1,0
01119,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01121,0,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
01123,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
01125,1,0,0,1,9,0,0,0,0,8,0,0,0,1,0,0,0,0,0,7,1,0,0,0,10,0,0,0,0,0
01127,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
01129,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01133,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
01150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02016,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
02020,1,5,2,32,49,82,4,2,2,2,0,1,4,8,17,0,3,13,13,24,75,4,1,12,1,0,2,5,5,28
02050,0,0,0,1,1,3,0,0,0,1,0,0,0,0,2,0,0,0,1,2,4,0,0,0,0,0,0,0,0,2
02060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
02070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
02090,0,0,0,2,17,22,1,2,0,1,0,0,0,3,1,0,2,1,3,13,24,1,0,0,0,0,2,1,1,3
02100,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02105,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
02110,0,0,0,7,5,11,0,0,0,0,0,0,0,2,2,0,0,1,5,2,10,0,0,2,0,0,1,0,2,3
02122,0,0,1,4,15,18,0,1,0,0,0,0,1,3,3,0,1,1,2,6,18,0,0,0,0,0,0,0,3,2
02130,0,0,0,2,4,7,0,0,1,0,0,0,1,0,0,0,0,1,2,2,4,0,0,1,0,0,0,1,0,3
02150,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,2,0,0,0,0,0,3
